,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
3043,S.CN.SZSE.002012,002012,凯恩股份,2004-07-05,2200-01-01,STOCK,,,,2004-07-05,2200-01-01
3044,S.CN.SZSE.002013,002013,中航机电,2004-07-05,2200-01-01,STOCK,,,,2004-07-05,2200-01-01
3045,S.CN.SZSE.002014,002014,永新股份,2004-07-08,2200-01-01,STOCK,,,,2004-07-08,2200-01-01
3046,S.CN.SZSE.002015,002015,协鑫能科,2004-07-08,2200-01-01,STOCK,,,,2004-07-08,2200-01-01
3047,S.CN.SZSE.002016,002016,世荣兆业,2004-07-08,2200-01-01,STOCK,,,,2004-07-08,2200-01-01
3048,S.CN.SZSE.002017,002017,东信和平,2004-07-13,2200-01-01,STOCK,,,,2004-07-13,2200-01-01
3049,S.CN.SZSE.002018,002018,华信退,2004-07-13,2019-11-01,STOCK,,,,2004-07-13,2019-11-01
3050,S.CN.SZSE.002019,002019,亿帆医药,2004-07-13,2200-01-01,STOCK,,,,2004-07-13,2200-01-01
3051,S.CN.SZSE.002020,002020,京新药业,2004-07-15,2200-01-01,STOCK,,,,2004-07-15,2200-01-01
3053,S.CN.SZSE.002022,002022,科华生物,2004-07-21,2200-01-01,STOCK,,,,2004-07-21,2200-01-01
3054,S.CN.SZSE.002023,002023,海特高新,2004-07-21,2200-01-01,STOCK,,,,2004-07-21,2200-01-01
3055,S.CN.SZSE.002024,002024,苏宁易购,2004-07-21,2200-01-01,STOCK,,,,2004-07-21,2200-01-01
3056,S.CN.SZSE.002025,002025,航天电器,2004-07-26,2200-01-01,STOCK,,,,2004-07-26,2200-01-01
3057,S.CN.SZSE.002026,002026,山东威达,2004-07-27,2200-01-01,STOCK,,,,2004-07-27,2200-01-01
3058,S.CN.SZSE.002027,002027,分众传媒,2004-08-04,2200-01-01,STOCK,,,,2004-08-04,2200-01-01
3059,S.CN.SZSE.002028,002028,思源电气,2004-08-05,2200-01-01,STOCK,,,,2004-08-05,2200-01-01
3060,S.CN.SZSE.002029,002029,七匹狼,2004-08-06,2200-01-01,STOCK,,,,2004-08-06,2200-01-01
3061,S.CN.SZSE.002030,002030,达安基因,2004-08-09,2200-01-01,STOCK,,,,2004-08-09,2200-01-01
3062,S.CN.SZSE.002031,002031,巨轮智能,2004-08-16,2200-01-01,STOCK,,,,2004-08-16,2200-01-01
3063,S.CN.SZSE.002032,002032,苏泊尔,2004-08-17,2200-01-01,STOCK,,,,2004-08-17,2200-01-01
3064,S.CN.SZSE.002033,002033,丽江股份,2004-08-25,2200-01-01,STOCK,,,,2004-08-25,2200-01-01
3065,S.CN.SZSE.002034,002034,旺能环境,2004-08-26,2200-01-01,STOCK,,,,2004-08-26,2200-01-01
3066,S.CN.SZSE.002035,002035,华帝股份,2004-09-01,2200-01-01,STOCK,,,,2004-09-01,2200-01-01
3067,S.CN.SZSE.002036,002036,联创电子,2004-09-03,2200-01-01,STOCK,,,,2004-09-03,2200-01-01
3068,S.CN.SZSE.002037,002037,保利联合,2004-09-08,2200-01-01,STOCK,,,,2004-09-08,2200-01-01
3069,S.CN.SZSE.002038,002038,双鹭药业,2004-09-09,2200-01-01,STOCK,,,,2004-09-09,2200-01-01
3070,S.CN.SZSE.002039,002039,黔源电力,2005-03-03,2200-01-01,STOCK,,,,2005-03-03,2200-01-01
3071,S.CN.SZSE.002040,002040,南京港,2005-03-25,2200-01-01,STOCK,,,,2005-03-25,2200-01-01
